radar,track_number,utctimestr,gps_epoch,CntrdLatRng,CntrdLatRRat,CntrdLatAcel,CntrdLngRng,CntrdLngRRat,CntrdLngAcel,CoNrstFcLatRng,CoNrstFcLatRRat,CoNrstFcLatAcel,CoNrstFcLngRng,CoNrstFcLngRRat,CoNrstFcLngAcel,NrstFacTyp,Width,DynamProp,MeasStat,ObjElevtn,ObjID,BurstID,CntrdHeight,RTK_X_M,RTK_Y_M,RTK_Z_M,RTK_EASTING_M,RTK_NORTHING_M,RTK_ALT_M
LF,3,2017-May-19 10:24:27.565211975,1495189485.565212,10.09,1.25,-7.125,39.710000000000001,13.375,6.375,10.289999999999999,1.0,-7.125,37.759999999999998,13.375,6.375,0,1.72,3,3,3,6.0,-1,1.0,40.160000000000004,9.9969999999999999,-0.84400000000000008,299998.18652391509,4701294.3891595611,246.64735149730984
LF,1,2017-May-19 10:24:27.605209175,1495189485.6052091,3.2000000000000002,-0.875,-8.375,31.719999999999999,12.875,5.0,3.46,-1.125,-8.375,29.809999999999999,12.875,5.0,0,1.6000000000000001,3,3,3,5.0,-1,1.0,32.170000000000002,3.1070000000000002,-0.84400000000000008,300007.48401092488,4701290.3577273106,246.9564027935495
LF,2,2017-May-19 10:24:27.605209175,1495189485.6052091,4.9900000000000002,-3.25,-6.875,8.0299999999999994,6.5,2.375,5.25,-3.625,-6.875,6.0999999999999996,6.5,2.375,0,1.5800000000000001,3,2,3,11.0,-1,1.0,8.4799999999999986,4.8970000000000002,-0.84400000000000008,300014.74683975824,4701267.7527022734,247.7836636006756
LF,3,2017-May-19 10:24:27.605209175,1495189485.6052091,10.029999999999999,1.0,-7.25,40.259999999999998,13.5,6.5,10.25,0.625,-7.25,38.329999999999998,13.375,6.5,0,1.72,3,3,3,6.0,-1,1.0,40.710000000000001,9.9369999999999994,-0.84400000000000008,299997.94290020736,4701295.6875840435,246.58179168931622
LF,1,2017-May-19 10:24:27.655205650,1495189485.6552057,3.1499999999999999,-1.125,-8.375,32.25,13.0,5.0,3.4300000000000002,-1.5,-8.375,30.350000000000001,12.875,5.0,0,1.6599999999999999,3,3,3,5.0,-1,1.0,32.700000000000003,3.0569999999999999,-0.84400000000000008,300007.18048906489,4701291.7671970082,246.89302336721258
LF,2,2017-May-19 10:24:27.655205650,1495189485.6552057,4.8300000000000001,-3.5,-6.875,8.3100000000000005,6.5,2.375,5.0999999999999996,-3.75,-6.875,6.3700000000000001,6.5,2.375,0,1.5800000000000001,3,2,3,11.0,-1,1.0,8.7599999999999998,4.7370000000000001,-0.84400000000000008,300014.51580214244,4701268.9335344117,247.76654182821989
LF,3,2017-May-19 10:24:27.655205650,1495189485.6552057,9.9499999999999993,0.625,-7.375,40.82,13.625,6.5,10.19,0.25,-7.375,38.890000000000001,13.5,6.5,0,1.72,3,3,3,6.0,-1,1.0,41.270000000000003,9.8569999999999993,-0.84400000000000008,299997.68536631175,4701297.1866448568,246.49662846122587
LF,1,2017-May-19 10:24:27.695202850,1495189485.6952028,3.0600000000000001,-1.625,-8.625,32.780000000000001,12.875,4.75,3.3599999999999999,-1.875,-8.625,30.879999999999999,12.875,4.75,0,1.6599999999999999,3,3,3,5.0,-1,1.0,33.230000000000004,2.9670000000000001,-0.84400000000000008,300006.94177321938,4701293.007534991,246.82146230770257
LF,2,2017-May-19 10:24:27.695202850,1495189485.6952028,9.8599999999999994,0.0,-7.625,41.399999999999999,13.625,6.25,10.119999999999999,-0.25,-7.625,39.479999999999997,13.625,6.25,0,1.72,3,3,3,6.0,-1,1.0,41.850000000000001,9.7669999999999995,-0.84400000000000008,299997.45014399482,4701298.5103330463,246.40602491614669
LF,1,2017-May-19 10:24:27.735200025,1495189485.7351999,2.9500000000000002,-1.875,-8.625,33.299999999999997,12.875,4.625,3.27,-2.125,-8.625,31.41,12.875,4.625,0,1.6599999999999999,3,3,3,5.0,-1,1.0,33.75,2.8570000000000002,-0.84400000000000008,300006.72041736142,4701294.2433966231,246.75561226901237
LF,2,2017-May-19 10:24:27.735200025,1495189485.7351999,9.75,-0.375,-7.75,41.969999999999999,13.75,6.25,10.029999999999999,-0.625,-7.75,40.049999999999997,13.75,6.25,0,1.72,3,3,3,6.0,-1,1.0,42.420000000000002,9.657,-0.84400000000000008,299997.23070730118,4701299.8261680165,246.32321598792379
LF,1,2017-May-19 10:24:27.775197200,1495189485.7751973,2.8599999999999999,-2.125,-8.5,33.82,12.875,4.75,3.1899999999999999,-2.375,-8.5,31.920000000000002,12.875,4.75,0,1.6399999999999999,3,3,3,5.0,-1,1.0,34.270000000000003,2.7669999999999999,-0.84400000000000008,300006.47724603891,4701295.471104471,246.69969639609349
LF,2,2017-May-19 10:24:27.775197200,1495189485.7751973,9.6600000000000001,-0.625,-7.75,42.549999999999997,13.875,6.375,9.9600000000000009,-0.875,-7.75,40.640000000000001,13.75,6.375,0,1.74,3,3,3,6.0,-1,1.0,43.0,9.5670000000000002,-0.84400000000000008,299996.9847311686,4701301.1407558499,246.25235459082293
LF,1,2017-May-19 10:24:27.815194400,1495189485.8151944,2.77,-2.5,-8.625,34.350000000000001,13.0,4.5,3.1200000000000001,-2.75,-8.625,32.469999999999999,13.0,4.5,0,1.7,3,3,3,5.0,-1,1.0,34.800000000000004,2.677,-0.84400000000000008,300006.23482034251,4701296.7106454186,246.64981853125551
LF,2,2017-May-19 10:24:27.815194400,1495189485.8151944,9.5399999999999991,-1.0,-7.875,43.130000000000003,14.0,6.125,9.8499999999999996,-1.375,-7.875,41.219999999999999,13.875,6.125,0,1.74,3,3,3,6.0,-1,1.0,43.580000000000005,9.4469999999999992,-0.84400000000000008,299996.77148724685,4701302.468625661,246.18906887313827
LF,1,2017-May-19 10:24:27.855191575,1495189485.8551915,2.6499999999999999,-2.875,-8.75,34.840000000000003,13.0,4.375,3.0099999999999998,-3.125,-8.75,32.969999999999999,13.0,4.375,0,1.6799999999999999,3,3,3,5.0,-1,1.0,35.290000000000006,2.5569999999999999,-0.84400000000000008,300006.03371171193,4701297.9254484912,246.61815221527752
LF,2,2017-May-19 10:24:27.855191575,1495189485.8551915,5.21,-1.625,-7.0,14.57,14.25,2.625,5.3899999999999997,-1.875,-7.0,12.58,14.25,2.625,0,1.5800000000000001,3,3,3,19.0,-1,1.0,15.02,5.117,-0.84400000000000008,300010.84373733448,4701278.0866017696,247.46095365850138
